Rk,Player,AV,GS,Season,Age,Team,G,GS,AV,Pos
1,Josh Allen,19,17,2021,25,BUF,17,17,19,QB
2,Justin Herbert,18,17,2021,23,LAC,17,17,18,QB
3,Cooper Kupp,18,17,2021,28,LAR,17,17,18,WR
4,Patrick Mahomes,18,17,2021,26,KAN,17,17,18,QB
5,Micah Parsons,18,16,2021,22,DAL,16,16,18,LB
6,Aaron Donald,17,17,2021,30,LAR,17,17,17,DT
7,Myles Garrett,17,17,2021,26,CLE,17,17,17,DE
8,Jalen Hurts,17,15,2021,23,PHI,15,15,17,QB
9,Jonathan Taylor,17,17,2021,22,IND,17,17,17,RB
10,Tristan Wirfs,17,17,2021,22,TAM,17,17,17,RT
11,Tom Brady,16,17,2021,44,TAM,17,17,16,QB
12,Cameron Heyward,16,17,2021,32,PIT,17,17,16,DE
13,Kyler Murray,16,14,2021,24,ARI,14,14,16,QB
14,Davante Adams,15,16,2021,29,GNB,16,16,15,WR
15,Joe Burrow,15,16,2021,25,CIN,16,16,15,QB
16,Demario Davis,15,16,2021,32,NOR,16,16,15,LB
17,Trevon Diggs,15,16,2021,23,DAL,16,16,15,CB
18,Darius Leonard,15,16,2021,26,IND,16,16,15,LB
19,Aaron Rodgers,15,16,2021,38,GNB,16,16,15,QB
20,Matthew Stafford,15,17,2021,33,LAR,17,17,15,QB
21,T.J. Watt,15,15,2021,27,PIT,15,15,15,LB
22,Joel Bitonio,14,17,2021,30,CLE,17,17,14,G
23,De'Vondre Campbell,14,16,2021,28,GNB,16,16,14,LB
24,Mac Jones,14,17,2021,23,NWE,17,17,14,QB
25,Matt Judon,14,16,2021,29,NWE,17,16,14,LB
26,Jason Kelce,14,17,2021,34,PHI,17,17,14,C
27,Dak Prescott,14,16,2021,28,DAL,16,16,14,QB
28,Jalen Ramsey,14,16,2021,27,LAR,16,16,14,CB
29,Deebo Samuel,14,15,2021,25,SFO,16,15,14,WR
30,Jeffery Simmons,14,17,2021,24,TEN,17,17,14,DE
31,Rashawn Slater,14,16,2021,22,LAC,16,16,14,LT
32,Carson Wentz,14,17,2021,29,IND,17,17,14,QB
33,Trent Williams,14,15,2021,33,SFO,15,15,14,LT
34,Orlando Brown Jr.,13,16,2021,25,KAN,16,16,13,LT
35,Kevin Byard,13,17,2021,28,TEN,17,17,13,S
36,Ja'Marr Chase,13,17,2021,21,CIN,17,17,13,WR
37,Jeremy Chinn,13,16,2021,23,CAR,16,16,13,S
38,Kirk Cousins,13,16,2021,33,MIN,16,16,13,QB
39,Maxx Crosby,13,17,2021,24,LVR,17,17,13,DE
40,D.J. Humphries,13,16,2021,28,ARI,16,16,13,LT
41,Justin Jefferson,13,17,2021,22,MIN,17,17,13,WR
42,Cameron Jordan,13,16,2021,32,NOR,16,16,13,DE
43,Zack Martin,13,16,2021,31,DAL,16,16,13,RG
44,Jordan Poyer,13,16,2021,30,BUF,16,16,13,S
45,Ryan Tannehill,13,17,2021,33,TEN,17,17,13,QB
46,Bobby Wagner,13,16,2021,31,SEA,16,16,13,LB
47,Nick Bosa,12,17,2021,24,SFO,17,17,12,DE
48,Derek Carr,12,17,2021,30,LVR,17,17,12,QB
49,Dion Dawkins,12,15,2021,27,BUF,16,15,12,LT
50,Stefon Diggs,12,17,2021,28,BUF,17,17,12,WR
51,Austin Ekeler,12,16,2021,26,LAC,16,16,12,RB
52,Jimmy Garoppolo,12,15,2021,30,SFO,15,15,12,QB
53,Tyreek Hill,12,16,2021,27,KAN,17,16,12,WR
54,Micah Hyde,12,17,2021,31,BUF,17,17,12,S
55,J.C. Jackson,12,17,2021,26,NWE,17,17,12,CB
56,Chris Jones,12,14,2021,27,KAN,14,14,12,DL
57,Corey Linsley,12,16,2021,30,LAC,16,16,12,C
58,Michael Pittman Jr.,12,17,2021,24,IND,17,17,12,WR
59,Justin Simmons,12,17,2021,28,DEN,17,17,12,S
60,Russell Wilson,12,14,2021,33,SEA,14,14,12,QB
61,Keenan Allen,11,16,2021,29,LAC,16,16,11,WR
62,Budda Baker,11,17,2021,25,ARI,17,17,11,S
63,Shaquil Barrett,11,15,2021,29,TAM,15,15,11,LB
64,Duane Brown,11,17,2021,36,SEA,17,17,11,LT
65,Taylor Heinicke,11,15,2021,28,WAS,16,15,11,QB
66,Trey Hendrickson,11,14,2021,27,CIN,16,14,11,DE
67,Xavien Howard,11,16,2021,28,MIA,16,16,11,CB
68,Lamar Jackson,11,12,2021,24,BAL,12,12,11,QB
69,Lane Johnson,11,13,2021,31,PHI,13,13,11,LB
70,Travis Kelce,11,16,2021,32,KAN,16,16,11,TE
71,Harold Landry,11,17,2021,25,TEN,17,17,11,LB
72,Tyler Lockett,11,16,2021,29,SEA,16,16,11,WR
73,Robert Quinn,11,16,2021,31,CHI,16,16,11,LB
